"","MSSubClass","MSZoning","Street","LotShape","LandContour","LotConfig","LandSlope","BldgType","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","Electrical","KitchenQual","FireplaceQu","GarageType","GarageFinish","GarageQual","PavedDrive","MoSold","SaleType","SaleCondition","Remod","IsNew","Location","Amenities1","Amenities2","Railroad","Amenities","NeighRich"
"14","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","Stone","PConc",4,3,3,1,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"8","New","Partial",1,0,3,0,0,0,0,1
"15","1 story 1946+","RL",1,3,"Lvl","Corner",2,"1Fam","Hip","CompShg","MetalSd","MetalSd","BrkFace","CBlock",3,3,1,4,1,"GasA",3,1,"SBrkr",3,2,"Attchd",2,3,2,"5","WD","Normal",0,0,2,0,0,0,0,1
"16","1,5 story unf","RM",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","BrkTil",3,3,1,1,1,"GasA",5,1,"FuseA",3,0,"Detchd",1,3,2,"7","WD","Normal",1,0,2,0,0,0,0,1
"17","1 story 1946+","RL",1,3,"Lvl","CulDSac",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace","CBlock",3,3,1,5,1,"GasA",5,1,"SBrkr",3,3,"Attchd",3,3,2,"3","WD","Normal",0,0,2,0,0,0,0,1
"18","duplex all style/age","RL",1,4,"Lvl","Inside",2,"Duplex","Gable","CompShg","MetalSd","MetalSd","None","Slab",0,0,0,0,0,"GasA",3,1,"SBrkr",3,0,"CarPort",1,3,2,"10","WD","Normal",0,0,1,0,0,0,0,1
"19","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",3,3,1,6,1,"GasA",5,1,"SBrkr",4,0,"Detchd",1,3,2,"6","WD","Normal",0,0,3,0,0,1,0,1
"21","2 story 1946+","RL",1,3,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",5,3,3,1,1,"GasA",5,1,"SBrkr",4,4,"BuiltIn",2,3,2,"11","New","Partial",1,0,4,0,0,0,0,2
"22","1,5 story unf","RM",1,4,"Bnk","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","PConc",3,3,1,1,1,"GasA",5,1,"FuseF",4,4,"Attchd",1,3,0,"6","WD","Normal",1,0,1,0,0,0,0,0
"23","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"9","WD","Normal",0,0,3,0,0,0,0,1
"24","1 story PUD 1946+","RM",1,4,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","CemntBd","CmentBd","None","PConc",4,3,1,6,1,"GasA",3,1,"SBrkr",3,3,"Attchd",1,3,2,"6","WD","Normal",0,0,1,0,0,0,0,0
"25","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","Plywood","Plywood","None","CBlock",3,3,2,3,5,"GasA",5,1,"SBrkr",4,3,"Attchd",1,3,2,"5","WD","Normal",1,0,1,0,0,0,0,1
"26","1 story 1946+","RL",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","Stone","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"7","WD","Normal",0,0,4,0,0,0,0,2
"27","1 story 1946+","RL",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","CBlock",3,3,2,4,3,"GasA",3,1,"SBrkr",4,0,"Detchd",1,3,2,"5","WD","Normal",1,0,2,0,0,0,0,1
"28","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","Stone","PConc",5,3,1,6,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"5","WD","Normal",1,0,4,0,0,0,0,2
"29","1 story 1946+","RL",1,3,"Lvl","CulDSac",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","CBlock",3,3,4,4,1,"GasA",3,1,"SBrkr",3,4,"Attchd",2,3,2,"12","WD","Normal",1,0,2,0,0,0,0,1
"30","1 story 1945-","RM",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","BrkTil",3,3,1,1,1,"GasA",2,0,"SBrkr",2,0,"Detchd",1,2,2,"5","WD","Normal",1,0,2,0,0,2,0,1
"32","1 story 1946+","RL",1,3,"Lvl","CulDSac",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","None","CBlock",3,3,1,1,1,"GasA",4,1,"SBrkr",4,0,"Attchd",1,3,2,"6","WD","Normal",1,0,1,0,0,0,0,1
"33","1 story 1946+","RL",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",5,3,3,1,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"1","WD","Normal",0,0,3,0,0,0,0,1
"34","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Hip","CompShg","BrkFace","BrkFace","None","CBlock",3,3,1,3,1,"GasA",4,1,"SBrkr",4,4,"Attchd",2,3,2,"4","WD","Normal",0,0,2,0,0,0,0,1
"35","1 story PUD 1946+","RL",1,4,"Lvl","Inside",2,"TwnhsE","Hip","CompShg","MetalSd","MetalSd","BrkFace","PConc",5,3,1,6,1,"GasA",5,1,"SBrkr",5,4,"Attchd",3,3,2,"8","WD","Normal",0,0,4,0,0,0,0,2
"36","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","Stone","PConc",5,3,3,1,1,"GasA",5,1,"SBrkr",4,4,"BuiltIn",3,3,2,"9","WD","Normal",1,0,4,0,0,0,0,2
"37","1 story 1946+","RL",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",3,0,"Attchd",1,3,2,"6","WD","Normal",1,0,3,0,0,0,0,1
"38","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace","CBlock",3,3,1,3,1,"GasA",4,1,"SBrkr",3,3,"Attchd",3,3,2,"10","WD","Normal",1,0,2,0,0,0,0,1
"40","duplex all style/age","RL",1,4,"Lvl","Inside",2,"Duplex","Gable","CompShg","AsbShng","Plywood","None","PConc",0,0,0,0,0,"GasA",3,0,"FuseP",2,0,"No Garage",0,0,0,"6","WD","AdjLand",0,0,1,0,0,0,0,1
"42","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","CBlock",3,3,4,4,1,"GasA",4,1,"SBrkr",3,4,"Attchd",2,3,1,"7","WD","Normal",0,0,4,0,0,0,0,1
"43","split foyer","RL",1,3,"Lvl","CulDSac",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","None","CBlock",4,3,3,5,2,"GasA",4,1,"SBrkr",4,0,"Attchd",2,3,2,"12","WD","Normal",0,0,3,0,0,0,0,1
"44","1 story 1946+","RL",1,3,"Lvl","CulDSac",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","None","CBlock",4,3,3,2,4,"GasA",3,1,"SBrkr",3,0,"Detchd",1,3,2,"7","WD","Normal",1,0,3,0,0,0,0,1
"45","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","BrkFace","Wd Sdng","None","CBlock",3,3,1,5,4,"GasA",5,1,"FuseA",3,0,"Attchd",2,3,2,"5","WD","Normal",0,0,2,0,0,0,0,1
"46","1 story PUD 1946+","RL",1,4,"Lvl","Inside",2,"TwnhsE","Hip","CompShg","MetalSd","MetalSd","BrkFace","PConc",5,3,1,6,1,"GasA",5,1,"SBrkr",5,4,"Attchd",2,3,2,"2","WD","Normal",0,0,4,0,0,0,0,2
"48","1 story 1946+","FV",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,3,6,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"7","WD","Normal",0,0,4,0,0,0,0,1
"49","2 family conversion","RM",1,4,"Lvl","Inside",2,"2fmCon","Gable","CompShg","MetalSd","MetalSd","None","BrkTil",3,3,1,1,1,"GasA",4,1,"SBrkr",3,0,"No Garage",0,0,0,"6","New","Partial",1,0,2,0,0,0,0,1
"50","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","None","CBlock",3,3,1,4,1,"GasA",5,1,"SBrkr",3,0,"Attchd",1,3,2,"1","WD","Normal",0,0,1,0,0,0,0,1
"51","2 story 1946+","RL",1,2,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,3,6,1,"GasA",4,1,"SBrkr",3,0,"Attchd",3,3,2,"7","WD","Normal",0,0,3,0,0,0,0,1
"52","1,5 story fin","RM",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","PConc",3,3,1,1,1,"GasA",3,1,"SBrkr",3,4,"Detchd",1,3,2,"9","WD","Normal",1,0,2,0,0,0,0,1
"53","duplex all style/age","RM",0,2,"Bnk","Corner",1,"Duplex","Gable","CompShg","Wd Sdng","Wd Sdng","None","CBlock",4,3,4,2,6,"GasA",3,0,"SBrkr",3,0,"CarPort",1,3,2,"5","WD","Normal",0,0,1,0,0,2,0,0
"54","1 story 1946+","RL",1,3,"Low","Inside",2,"1Fam","Gable","WdShngl","WdShing","Wd Shng","None","CBlock",5,3,4,6,1,"GasA",4,1,"SBrkr",4,4,"Attchd",3,3,2,"11","WD","Normal",1,0,4,0,0,0,0,1
"55","split/multi level","RL",1,4,"Bnk","Inside",1,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","CBlock",3,3,1,5,1,"GasA",3,1,"SBrkr",3,3,"Detchd",1,3,2,"2","WD","Normal",0,0,2,0,0,0,0,1
"56","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","HdBoard","Plywood","BrkFace","CBlock",3,3,1,4,1,"GasA",4,1,"SBrkr",3,4,"Attchd",2,3,2,"7","WD","Normal",0,0,2,0,0,0,0,1
"58","2 story 1946+","RL",1,3,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"8","WD","Normal",0,0,3,0,0,0,0,1
"59","2 story 1946+","RL",1,2,"HLS","CulDSac",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","BrkFace","PConc",5,3,4,1,1,"GasA",5,1,"SBrkr",4,4,"BuiltIn",3,3,2,"10","New","Partial",0,1,4,0,0,0,0,2
"60","1 story 1946+","RL",1,4,"Bnk","Inside",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","None","CBlock",3,3,3,5,1,"GasA",5,1,"SBrkr",3,0,"Detchd",1,3,2,"1","WD","Normal",0,0,3,0,0,0,0,1
"61","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,5,1,"GasA",5,1,"SBrkr",4,0,"Detchd",1,3,2,"5","New","Partial",0,0,3,0,0,1,0,1
"62","2,5 story all ages","RM",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","BrkTil",3,2,1,1,1,"GasA",3,0,"SBrkr",2,0,"Detchd",1,3,0,"3","WD","Normal",1,0,1,0,0,0,0,0
"63","1 story PUD 1946+","RL",1,3,"Lvl","Inside",2,"TwnhsE","Gable","CompShg","VinylSd","VinylSd","Stone","PConc",4,4,2,6,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"10","WD","Normal",0,0,4,0,0,0,0,2
"64","2 story 1945-","RM",1,3,"Bnk","Inside",2,"1Fam","Gable","CompShg","Stucco","Stucco","None","BrkTil",3,3,1,1,1,"GasA",4,1,"SBrkr",3,0,"Detchd",1,3,2,"4","WD","Normal",1,0,2,0,0,1,0,1
"65","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"2","WD","Normal",1,0,3,0,0,0,0,1
"66","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",5,3,3,1,1,"GasA",5,1,"SBrkr",4,4,"BuiltIn",2,3,2,"10","WD","Normal",1,0,4,0,0,0,0,2
"67","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","Plywood","Plywood","BrkFace","CBlock",4,3,4,6,1,"GasA",3,1,"SBrkr",3,4,"Attchd",2,3,2,"7","WD","Normal",1,0,2,1,0,0,1,1
"68","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,3,6,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"6","WD","Normal",0,0,3,0,0,0,0,1
"69","1 story 1945-","RM",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","None","CBlock",3,3,1,1,1,"GasA",3,1,"SBrkr",3,0,"Attchd",1,3,2,"6","WD","Normal",1,0,2,0,0,1,0,1
"70","1,5 story fin","RL",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","BrkFace","AsbShng","None","CBlock",3,3,1,4,1,"GasW",3,1,"SBrkr",3,3,"Attchd",3,3,2,"7","WD","Normal",0,0,2,0,0,0,0,1
"71","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","Plywood","Plywood","BrkFace","CBlock",4,3,4,5,1,"GasA",5,1,"SBrkr",3,4,"Attchd",3,3,2,"2","WD","Normal",0,0,2,0,0,0,0,1
"72","1 story 1946+","RL",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","HdBoard","Plywood","None","CBlock",3,3,1,5,1,"GasA",3,1,"SBrkr",3,0,"Detchd",1,3,2,"6","WD","Normal",1,0,2,0,0,0,0,1
"73","2 story 1946+","RL",1,3,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,1,1,1,"GasA",4,1,"SBrkr",3,3,"Attchd",3,3,2,"12","WD","Normal",0,0,3,0,0,0,0,1
"74","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace","CBlock",3,3,1,5,4,"GasA",4,1,"SBrkr",3,0,"Attchd",1,3,2,"5","WD","Normal",1,0,2,0,0,0,0,1
"75","1,5 story fin","RM",1,4,"Lvl","Corner",2,"1Fam","Gambrel","CompShg","VinylSd","VinylSd","None","CBlock",2,3,1,1,1,"GasA",4,0,"SBrkr",3,0,"Detchd",1,3,2,"5","WD","Normal",1,0,2,0,0,0,0,1
"76","PUD multilevel","RM",1,4,"Lvl","Inside",2,"Twnhs","Gable","CompShg","CemntBd","CmentBd","None","CBlock",4,3,4,6,1,"GasA",3,1,"SBrkr",3,0,"BuiltIn",1,3,2,"11","WD","Normal",0,0,1,0,0,0,0,0
"77","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","CBlock",3,3,1,5,1,"GasA",5,1,"FuseA",3,0,"Detchd",1,3,2,"4","WD","Normal",0,0,2,0,0,0,0,1
"78","1,5 story fin","RM",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","CBlock",3,3,1,4,6,"GasA",3,1,"SBrkr",3,0,"Detchd",1,3,2,"1","WD","Normal",1,0,2,0,0,0,0,1
"79","duplex all style/age","RL",1,4,"Lvl","Inside",2,"Duplex","Hip","CompShg","HdBoard","HdBoard","None","CBlock",3,3,1,1,1,"GasA",3,0,"SBrkr",3,0,"No Garage",0,0,2,"4","WD","Normal",0,0,1,0,0,0,0,1
"80","1,5 story fin","RM",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","PConc",3,3,1,1,1,"GasA",4,1,"SBrkr",3,0,"Detchd",1,3,2,"5","WD","Normal",1,0,2,0,0,0,0,1
"81","2 story 1946+","RL",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","CBlock",4,3,1,3,1,"GasA",3,1,"SBrkr",4,4,"Attchd",3,3,2,"6","WD","Normal",0,0,2,0,0,0,0,1
"82","1 story PUD 1946+","RM",1,4,"Lvl","FR2",2,"TwnhsE","Hip","CompShg","VinylSd","VinylSd","BrkFace","PConc",5,4,1,6,1,"GasA",5,1,"SBrkr",3,0,"Attchd",3,3,2,"3","WD","Normal",0,0,2,0,0,0,0,1
"83","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","Stone","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"10","WD","Normal",0,0,4,0,0,0,0,1
"84","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","MetalSd","MetalSd","BrkCmn","CBlock",3,3,1,1,1,"GasA",4,1,"SBrkr",3,0,"Detchd",1,3,2,"7","COD","Normal",0,0,2,0,0,0,0,1
"85","split/multi level","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","BrkFace","PConc",4,3,1,1,1,"GasA",4,1,"SBrkr",3,3,"BuiltIn",3,3,2,"5","WD","Normal",1,0,3,0,0,0,0,1
"86","2 story 1946+","RL",1,4,"Lvl","Corner",2,"1Fam","Hip","CompShg","HdBoard","HdBoard","BrkFace","CBlock",4,3,1,1,1,"GasA",5,1,"SBrkr",4,3,"Attchd",1,3,2,"4","WD","Normal",1,0,4,0,0,0,0,2
"87","2 story 1946+","RL",1,2,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,3,1,1,"GasA",5,1,"SBrkr",4,4,"BuiltIn",3,3,2,"3","WD","Normal",0,0,3,0,0,0,0,1
"88","2 story PUD 1946+","FV",1,4,"Lvl","Corner",2,"TwnhsE","Gable","CompShg","VinylSd","VinylSd","Stone","PConc",4,3,3,1,1,"GasA",5,1,"SBrkr",4,0,"Detchd",2,3,2,"6","New","Partial",0,1,4,0,0,0,0,1
"90","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",3,0,"No Garage",0,0,2,"8","WD","Normal",1,0,3,0,0,0,0,1
"91","1 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","BrkFace","Wd Sdng","None","Slab",0,0,0,0,0,"GasA",3,1,"FuseA",3,0,"Detchd",1,3,2,"7","WD","Normal",0,0,2,0,0,0,0,1
"93","1 story 1945-","RL",1,3,"HLS","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","BrkTil",4,3,1,5,1,"GasA",5,1,"SBrkr",3,0,"Detchd",1,3,2,"8","WD","Normal",1,0,3,0,0,0,0,1
"95","2 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"5","WD","Normal",0,0,3,0,0,0,0,1
"96","2 story 1946+","RL",1,2,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,4,1,5,1,"GasA",4,1,"SBrkr",3,3,"BuiltIn",3,3,2,"4","WD","Normal",0,0,3,0,0,0,0,1
"97","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc",4,3,3,5,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"8","WD","Normal",0,0,3,0,0,0,0,1
"98","1 story 1946+","RL",1,4,"HLS","Inside",2,"1Fam","Hip","CompShg","HdBoard","HdBoard","BrkFace","CBlock",3,3,1,3,1,"GasA",3,1,"FuseF",3,0,"Attchd",3,3,1,"5","WD","Normal",0,0,1,0,0,0,0,1
"100","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","Plywood","Plywood","None","CBlock",3,3,1,5,1,"GasA",2,1,"SBrkr",3,0,"No Garage",0,0,2,"1","WD","Normal",0,0,2,0,0,0,0,1
"101","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","Plywood","Plywood","BrkFace","PConc",3,3,2,5,1,"GasA",4,1,"SBrkr",4,3,"Attchd",2,3,2,"2","WD","Normal",1,0,3,0,0,0,0,1
"102","2 story 1946+","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","HdBoard","HdBoard","BrkFace","CBlock",4,3,1,1,1,"GasA",3,1,"SBrkr",4,3,"Attchd",3,3,2,"6","WD","Normal",0,0,3,0,0,0,0,1
"103","duplex all style/age","RL",1,4,"Bnk","Inside",2,"Duplex","Gable","CompShg","HdBoard","HdBoard","None","Slab",0,0,0,0,0,"GasA",3,1,"SBrkr",3,0,"Attchd",1,3,2,"6","WD","Alloca",0,0,3,0,0,0,0,1
"104","1 story 1946+","RL",1,3,"Lvl","Corner",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,1,1,"GasA",5,1,"SBrkr",4,0,"Attchd",2,3,2,"5","WD","Normal",0,0,3,0,0,0,0,1
"105","1,5 story fin","RM",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","Stucco","Stucco","BrkFace","PConc",3,3,1,2,1,"GasA",5,1,"FuseF",3,3,"Detchd",1,3,2,"6","WD","Normal",1,0,1,0,0,0,0,0
"106","2 story 1946+","FV",1,4,"Lvl","Inside",2,"1Fam","Hip","CompShg","VinylSd","VinylSd","BrkFace","PConc",5,3,1,1,1,"GasA",5,1,"SBrkr",4,4,"Attchd",2,3,2,"8","WD","Normal",1,0,4,0,0,0,0,1
"107","1 story 1945-","RM",1,4,"Lvl","Inside",2,"1Fam","Mansard","CompShg","VinylSd","VinylSd","None","BrkTil",2,3,1,1,1,"GasA",4,1,"SBrkr",3,0,"Detchd",1,2,0,"8","WD","Normal",1,0,2,0,0,0,0,1
"108","1 story 1946+","RM",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","CBlock",3,3,1,5,4,"GasA",5,1,"SBrkr",3,0,"Detchd",1,3,2,"4","WD","Partial",1,0,2,0,0,0,0,1
"109","1,5 story fin","RM",1,4,"Lvl","Corner",2,"1Fam","Gable","CompShg","CemntBd","CmentBd","None","CBlock",3,3,1,1,1,"GasW",3,0,"FuseF",2,0,"No Garage",0,0,0,"8","WD","Normal",1,0,1,0,0,1,0,0
"110","1 story 1946+","RL",1,3,"Lvl","Inside",2,"1Fam","Hip","CompShg","Plywood","Plywood","BrkFace","CBlock",4,3,1,4,1,"GasA",5,1,"SBrkr",3,3,"Attchd",2,3,2,"1","COD","Normal",0,0,3,0,0,0,0,1
"111","1,5 story fin","RL",1,4,"Lvl","Inside",2,"1Fam","Gable","CompShg","Wd Sdng","Wd Sdng","None","CBlock",3,2,1,3,1,"GasA",4,1,"SBrkr",3,0,"Attchd",1,3,2,"10","WD","Normal",1,0,1,0,0,0,0,1
"112","split/multi level","RL",1,3,"Lvl","Inside",2,"1Fam","Gable","CompShg","VinylSd","VinylSd","None","PConc",4,3,1,6,1,"GasA",5,1,"SBrkr",3,3,"BuiltIn",3,3,2,"4","WD","Normal",0,0,3,0,0,0,0,1
