"","LotFrontage","LotArea","MasVnrArea","GrLivArea","BedroomAbvGr","KitchenAbvGr","Fireplaces","GarageCars","WoodDeckSF","TotBathrooms","Age","HouseQC","TotalSqFeet","TotalPorchSF","PricePerSF"
"49",3.52636052461616,8.40223117294656,0,7.28138566357028,2,1.38629436111989,0,0,0,2,1,6.2,7.28138566357028,4.63472898822964,4.36721360472315
"50",4.20469261939097,8.95454448838672,0,6.8627579130514,3,0.693147180559945,0,1,0,2,41,6.8,7.44949800538285,0,4.31646314140036
"51",4.17438726989564,9.53748351330888,0,7.29369772060144,3,0.693147180559945,0,2,0,2.5,10,6.8,7.41034709782102,4.33073334028633,4.68345310438214
"52",3.97029191355212,8.73889570493404,0,7.07072410726028,3,0.693147180559945,1,2,4.72738781871234,1,56,6.8,7.3375877435386,0,4.32471885306148
"53",4.70953020131233,9.04463991619846,0,6.70563909486,2,0.693147180559945,0,2,4.67282883446191,2,47,6,7.39817409297047,0,4.22540149065497
"54",4.23410650459726,10.8252035410553,0,7.51914995766982,0,0.693147180559945,1,3,6.75460409948796,2.5,19,7.6,8.20330402679528,4.29045944114839,4.66740937894853
"55",4.11087386417331,8.87276752991094,0,7.21597500265147,3,0.693147180559945,1,2,0,1,52,5.82857142857143,7.46450983463653,3.93182563272433,4.32467932010071
"56",4.61512051684126,9.2277872855799,5.60947179518496,7.26262860097424,3,0.693147180559945,1,2,0,2,44,6.6,7.55799495853081,6.01126717440416,4.55656668846846
"58",4.49980967033027,9.36271805239707,0,7.45066079621154,3,0.693147180559945,0,2,0,2.5,2,7.2,7.45066079621154,4.26267987704132,4.7470532341532
"59",4.20469261939097,9.52390946537981,6.93925394604151,7.98820359702258,3,0.693147180559945,1,3,5.26269018890489,3.5,0,8.2,7.98820359702258,3.63758615972639,5.01057869939916
"60",4.11087386417331,8.88197518424887,0,6.66057514983969,2,0.693147180559945,0,1,5.28320372873799,1,36,6.8,7.25347038268453,0,4.49374789764854
"61",4.15888308335967,9.47830431356186,0,7.05531284333975,3,0.693147180559945,0,2,0,2.5,2,6.6,7.64969262371151,3.93182563272433,4.33433133304848
"62",4.11087386417331,8.88197518424887,0,7.01391547481053,3,0.693147180559945,0,1,0,1,11,6.8,7.01391547481053,4.97673374242057,4.5207999462221
"63",3.80666248977032,8.77074954913864,5.18738580584075,7.22329567956231,2,0.693147180559945,1,2,4.79579054559674,2,1,7.4,7.24064969425547,3.91202300542815,4.98542293861981
"64",3.93182563272433,9.23999625688369,0,7.44483327389219,3,0.693147180559945,0,2,2.56494935746154,2,60,7,7.44483327389219,4.33073334028633,4.41728934532221
"65",4.26267987704132,9.14590851181679,6.35262939631957,7.6182510978767,3,0.693147180559945,0,2,6.3578422665081,3.5,11,6.8,7.92804560087478,3.61091791264422,4.38397658947007
"66",4.34380542185368,9.16868469670735,5.84354441703136,7.81359155295243,4,0.693147180559945,1,3,5.26269018890489,2.5,2,7.4,7.81359155295243,5.02388052084628,4.86124077466514
"67",4.30406509320417,9.89852526070631,5.66296048013595,7.69984240739699,3,0.693147180559945,1,2,5.71042701737487,3,21,6.22857142857143,8.04558828080353,0,4.07262377710378
"68",4.29045944114839,9.27481639116055,5.12396397940326,7.29979736675816,3,0.693147180559945,0,2,4.97673374242057,3,4,7.2,7.82124208352356,3.40119738166216,4.51841559785524
"69",3.87120101090789,8.43576619272051,0,6.61740297797448,2,0.693147180559945,0,1,0,1,60,6.8,6.61740297797448,0,4.68301090355916
"70",4.40671924726425,9.65464150386955,0,7.73543335249969,3,0.693147180559945,1,2,0,2,53,7,7.96935774201635,4.91265488573605,4.36760655427034
"71",4.56434819146784,9.5216413100266,7.01750614294126,7.70706265537047,3,0.693147180559945,2,2,5.70711026474888,3,34,7.4,8.31971738685061,0,4.10212556906303
"72",4.24849524204936,8.93590352627442,0,6.74051935960622,2,0.693147180559945,0,2,0,2,1,6.4,7.25205395185281,0,4.53092035980193
"73",4.31748811353631,9.22444049635496,3.71357206670431,7.44949800538285,3,0.693147180559945,1,2,0,2.5,11,6.8,7.44949800538285,5.95583736946483,4.68843863369345
"74",4.45434729625351,9.23024103368252,4.65396035015752,6.99117688712121,3,0.693147180559945,0,2,0,2,7,6.8,7.47816969415979,0,4.41832256489651
"75",4.11087386417331,8.66406026722579,0,7.38150189450671,3,1.09861228866811,0,1,0,2,60,7,7.38150189450671,5.31320597904179,4.21826999615473
"76",3.09104245335832,7.37588214821501,0,6.89669433162271,2,0.693147180559945,0,1,4.79579054559674,2,36,6.2,7.28000825288419,4.62497281328427,4.15510440140065
"77",4.30406509320417,9.04499391938819,0,6.8596149036542,2,0.693147180559945,0,1,0,1,52,6.6,7.07411681619736,0,4.75395540786657
"78",3.93182563272433,9.0636947916347,0,7.15929190479756,2,0.693147180559945,0,1,0,2,7,5.82857142857143,7.41637847919293,0,4.34916711427566
"79",4.29045944114839,9.28535507578163,0,7.47816969415979,4,1.09861228866811,0,0,0,2,42,6.2,7.47816969415979,0,4.35934486662686
"80",4.11087386417331,9.25349564229011,0,7.11558212618445,2,0.693147180559945,0,2,4.31748811353631,1.5,28,6.6,7.11558212618445,4.85981240436167,4.50458596021961
"81",4.61512051684126,9.47278155656217,6.3578422665081,7.66996199547358,4,0.693147180559945,1,1,0,2.5,41,7.2,7.85979918056211,5.78382518232974,4.32691586179998
"82",3.49650756146648,8.41205487329293,6.09582456243222,7.19893124068817,2,0.693147180559945,0,2,0,3,8,7,7.83952558170468,5.29831736654804,4.11872319803777
"83",4.36944785246702,9.2308290384035,6.15060276844628,7.35500192110526,3,0.693147180559945,1,3,4.97673374242057,2,1,7,7.37588214821501,4.60517018598809,5.04025087097091
"84",4.39444915467244,9.09301972939964,4.20469261939097,6.97166860472579,3,0.693147180559945,0,2,4.31748811353631,1.5,47,6.4,6.97166860472579,0,4.78565123945279
"85",4.17438726989564,9.05146186690869,3.13549421592915,7.29641326877392,3,0.693147180559945,1,2,4.79579054559674,2.5,13,6.8,7.29641326877392,4.29045944114839,4.74766569040995
"86",4.80402104473326,9.68408698750075,5.65248918026865,7.79069603117474,4,0.693147180559945,1,2,4.85203026391962,2.5,14,7.4,7.79069603117474,4.4188406077966,4.68740773983539
"87",4.81218435537242,9.38530157436385,0,7.35308192051543,3,0.693147180559945,1,2,4.61512051684126,2.5,4,7,7.35308192051543,3.66356164612965,4.72329504355859
"88",3.71357206670431,8.28197705886776,4.34380542185368,7.11069612297883,2,0.693147180559945,0,2,0,2.5,0,7,7.11069612297883,5.45958551414416,4.90819956992649
"90",4.11087386417331,8.99603266932437,0,6.89871453432999,3,0.693147180559945,0,0,0,2,12,6.2,7.36454701425564,0,4.37357850195211
"91",4.11087386417331,8.88197518424887,0,6.94793706861497,2,0.693147180559945,0,2,0,1,56,6.2,6.94793706861497,3.40119738166216,4.66976880147381
"93",4.39444915467244,9.50009529458889,0,6.87212810133899,2,0.693147180559945,0,2,0,2,3,7.2,7.42535788702715,3.80666248977032,4.59001114337148
"95",4.24849524204936,9.14184737553088,0,7.48829351515943,3,0.693147180559945,0,2,0,3.5,10,7,7.79770203551669,5.09375020080676,4.44407129276115
"96",4.17438726989564,9.1866622446216,4.23410650459726,7.29369772060144,3,0.693147180559945,1,2,5.4510384535657,2.5,16,8.4,7.48493028328966,4.15888308335967,4.65331808937758
"97",4.36944785246702,9.23649532945303,5.21493575760899,7.37086016653672,3,0.693147180559945,0,2,5.06890420222023,2,7,7.2,7.91971976092457,3.40119738166216,4.36714370398217
"98",4.30406509320417,9.2985343827121,3.89182029811063,6.86797440897029,3,0.693147180559945,0,1,4.79579054559674,2,42,6.2,7.3004728142678,0,4.17469907159229
"100",4.35670882668959,9.14002519806116,0,7.11151211649616,3,0.693147180559945,0,0,5.8664680569333,2.5,51,6.2,7.49276030092238,0,4.28879344915415
"101",4.39444915467244,9.26898656740892,3.36729582998647,7.38461038317697,3,0.693147180559945,2,2,5.12989871492307,3,9,7,7.94129557090653,4.23410650459726,4.30343971735697
"102",4.35670882668959,9.12771934328785,5.82008293035236,7.45760928971561,3,0.693147180559945,1,2,5.26269018890489,2.5,25,7,7.45760928971561,3.85014760171006,4.6421900423646
"103",4.17438726989564,8.85637603673042,0,7.33693691370762,4,1.09861228866811,0,2,0,2,30,6,7.33693691370762,0,4.36311107310193
"104",4.55387689160054,9.24984950507089,0,7.11232744471091,3,0.693147180559945,0,3,0,2,1,6.8,7.11232744471091,3.61091791264422,5.09519033066733
"105",4.11087386417331,8.95660873889395,6.39859493453521,7.50604217851812,4,0.693147180559945,2,1,0,1.5,57,6.2,7.62217459481762,5.22035582507832,4.43089841484009
"106",4.33073334028633,9.14590851181679,6.64509096950564,7.59739632021279,3,0.693147180559945,1,2,4.94875989037817,2.5,4,7.4,7.59739632021279,3.8286413964891,4.84025818181335
"107",4.11087386417331,9.28739400141847,0,6.95463886488099,2,0.693147180559945,0,1,0,1,12,6.6,6.95463886488099,0,4.56965682324739
"108",3.93182563272433,8.69968140098951,0,6.67203294546107,2,0.693147180559945,0,1,0,1,58,6.4,6.96885037834195,0,4.6939706082602
"109",4.45434729625351,9.04793908261736,0,7.32514895795557,3,0.693147180559945,0,0,0,2,2,6.8,7.32514895795557,4.97673374242057,4.34130248474045
"110",4.66343909411207,9.37177871785371,6.17586727010576,7.52023455647463,3,0.693147180559945,1,2,0,2,33,6.8,7.84384863815247,4.81218435537242,4.32464954139721
"111",4.33073334028633,9.16178018136081,0,7.52617891334615,4,0.693147180559945,0,1,5.20948615284142,2,34,6.4,7.74066440191724,0,4.10343031818542
"112",4.17438726989564,8.95557714628151,0,7.26612877955645,3,0.693147180559945,1,2,5.19849703126583,2.5,10,6.8,7.42714413340862,0,4.68345310438214
"113",4.35670882668959,9.20693457884135,5.39816270151775,7.89989532313973,4,0.693147180559945,1,3,4.79579054559674,3.5,0,7.2,8.21093973337902,5.8664680569333,4.65719011848413
"115",4.12713438504509,8.89013510781884,0,7.74975340627444,3,0.693147180559945,1,1,5.41610040220442,3.5,5,7.2,8.08487062913819,0,4.3943730378483
"116",3.55534806148941,8.0805469658245,7.02997291170639,7.28550654852279,2,0.693147180559945,1,2,0,2.5,8,6.6,7.53796265976821,3.49650756146648,4.55141754259345
"117",4.29045944114839,9.36022482151347,4.76217393479776,6.99668148817654,3,0.693147180559945,1,1,0,1.5,47,6.4,7.56682847920833,5.10594547390058,4.28972176875496
"118",4.31748811353631,9.05216493701031,0,7.02642680869964,2,0.693147180559945,0,2,4.39444915467244,1.5,0,6.4,7.02642680869964,4.17438726989564,4.93287393278936
"119",4.51085950651685,9.42359519054002,0,8.07806788181544,5,0.693147180559945,2,3,5.90808293816893,4,20,6.8,8.45382731579442,0,4.23701810988655
"120",4.18965474202643,9.04334083128001,0,7.2841348061952,3,0.693147180559945,1,2,0,2.5,0,7,7.2841348061952,3.2188758248682,4.73295190781251
"121",4.40060302024682,9.97366638715737,0,6.89669433162271,1,0.693147180559945,2,2,0,2,37,6.6,7.56371966841437,5.56452040732269,4.54815469761276
"122",3.93182563272433,8.70963008195129,0,7.02464903045364,3,0.693147180559945,0,1,0,1,57,6.2,7.02464903045364,4.94875989037817,4.50033392192368
"123",4.33073334028633,9.15535606364342,4.91265488573605,6.98564181763921,3,0.693147180559945,0,1,0,1,50,7.4,7.40913644392013,4.87519732320115,4.42393894367613
"124",4.02535169073515,8.9737315697084,0,7.09007683577609,2,0.693147180559945,0,2,0,2,15,7,7.3132203870903,4.15888308335967,4.64119778378595
"125",3.89182029811063,9.7435535146198,0,7.36960072052641,3,0.693147180559945,1,2,5.26269018890489,2,11,7,7.36960072052641,0,4.74600617169126
"126",4.11087386417331,8.82187986268384,0,6.62671774924902,2,0.693147180559945,0,0,3.98898404656427,2,24,6.8,7.2991214627108,0,4.06340162704804
"127",3.2188758248682,8.50289140670538,0,6.86589107488344,2,0.693147180559945,1,2,0,2,31,6.6,6.98378996525813,5.32787616878958,4.7853094003098
"128",4.02535169073515,8.38685668968823,0,6.73459165997295,3,0.693147180559945,1,0,0,1,57,7.2,6.86380339145295,0,4.52183405536726
"129",4.24849524204936,8.93471861401677,5.58724865840025,7.20711885620776,3,0.693147180559945,1,2,5.24174701505964,1.5,40,6.6,7.52886925664225,4.69134788222914,4.43477720005941
"131",4.48863636973214,9.56106766364501,5.73657229747919,7.67693714581808,4,0.693147180559945,2,2,4.66343909411207,2.5,40,7,7.86441990499457,4.20469261939097,4.47570212013851
"132",4.17438726989564,9.41123831434307,3.71357206670431,7.62803112693033,3,0.693147180559945,1,2,3.2188758248682,3.5,9,7,7.91935619066062,3.89182029811063,4.49713441643737
"133",4.33073334028633,8.90774768678865,0,7.19142933003638,3,0.693147180559945,0,2,0,2,5,6.6,7.45760928971561,0,4.47776974615392
"134",4.4188406077966,8.83258770243455,4.91998092582813,7.16780918431644,2,0.693147180559945,0,2,5.26269018890489,3,7,7.4,7.74153358928183,3.25809653802148,4.57068850833236
"135",4.36944785246702,9.24338822602238,0,7.45124168498768,3,0.693147180559945,1,2,0,2.5,13,6.02857142857143,7.73718007783463,5.62401750618734,4.37661590782287
"136",4.39444915467244,9.24965723435313,5.66642668811243,7.42833319419081,3,0.693147180559945,1,2,4.59511985013459,2,38,7,7.42833319419081,0,4.64869198104076
"137",4.30406509320417,9.24532134087143,5.28320372873799,7.10249935577465,3,0.693147180559945,1,1,0,2,40,6.4,7.55485852104068,4.71849887129509,4.32952641445541
"139",4.30406509320417,9.11239672764606,5.77144112313002,7.52456122628536,3,0.693147180559945,2,3,5.41610040220442,2.5,8,7.4,7.83241092718792,4.67282883446191,4.52471734130982
"140",4.18965474202643,9.64387450001194,0,7.4759059693674,3,0.693147180559945,0,2,5.62401750618734,3.5,12,6.6,7.8578675593318,4.60517018598809,4.50595878930202
"141",4.26267987704132,9.25922576970599,0,6.76272950693188,3,0.693147180559945,1,0,0,1,39,6.2,7.16780918431644,0,4.49685606719394
"142",4.36944785246702,9.36271805239707,0,7.45876269238096,3,0.693147180559945,0,2,5.08140436498446,3,1,7.2,8.0179667034936,3.2188758248682,4.46240142046234
"143",4.27666611901606,9.05028898382796,0,7.23417717974985,4,0.693147180559945,0,2,0,2,58,5.8,7.54591815120932,0,4.48568644490946
"144",4.36944785246702,9.24338822602238,5.21493575760899,7.31455283232408,3,0.693147180559945,0,2,4.97673374242057,3,10,7.2,7.68753876620163,3.40119738166216,4.54942469686724
"146",3.2188758248682,7.83320394864106,3.93182563272433,7.44424864949671,3,0.693147180559945,0,2,0,2,0,5.85714285714286,7.44424864949671,3.71357206670431,4.34468653941075
"147",3.95124371858143,8.71948076085107,0,6.77536609093639,2,0.693147180559945,0,1,3.89182029811063,2,16,6.8,6.98933526597456,0,4.58357333009984
"148",4.17438726989564,9.15967845717396,5.19849703126583,7.61874237767041,3,0.693147180559945,1,2,4.97673374242057,2.5,9,7.2,7.61874237767041,3.89182029811063,4.70353577814075
"149",4.15888308335967,8.92279162396964,4.79579054559674,6.98564181763921,3,0.693147180559945,0,0,0,2,3,6.8,7.47363710849621,0,4.3958510895719
"150",3.95124371858143,8.73889570493404,0,7.20414929203594,3,0.693147180559945,0,1,5.30330490805908,1,56,6.2,7.20414929203594,4.74493212836325,4.46090107777445
"151",4.79579054559674,9.24541789858888,0,6.87729607149743,3,0.693147180559945,0,2,0,1.5,32,6.6,7.4301141385618,0,4.29597244712579
"152",4.68213122712422,9.53906841386396,6.07993319509559,7.44483327389219,2,0.693147180559945,1,3,0,3,0,7.4,8.04269949689764,4.63472898822964,4.79366770189257
"153",4.39444915467244,9.60265269350605,5.53338948872752,7.59789795052178,4,0.693147180559945,1,2,0,2.5,35,6.6,7.7873820264847,4.20469261939097,4.38041159105161
"154",4.40060302024682,9.51051903575725,0,7.13329595489607,1,0.693147180559945,1,2,6.01615715969835,2,33,7,7.92371033396924,0,4.45567303449447
"156",4.11087386417331,9.16962253869762,0,7.00033446027523,2,0.693147180559945,0,0,0,1,58,6.6,7.00033446027523,4.91998092582813,4.29155872672354
"157",4.11087386417331,8.88197518424887,0,6.94793706861497,2,0.693147180559945,0,2,0,1,56,6.8,6.94793706861497,0,4.66615673325184
"158",4.53259949315326,9.39299520656026,4.44265125649032,7.58528107863913,4,0.693147180559945,1,3,0,2.5,0,7.4,7.58528107863913,4.33073334028633,4.92682647007738
"159",4.61512051684126,9.43771495981821,0,7.57455848420248,3,0.693147180559945,1,2,0,2.5,5,7.2,7.68248244653451,4.91998092582813,4.77507829950578
"160",4.90527477843843,9.87194528452625,6.12468339089421,7.80913539812054,4,0.693147180559945,1,2,5.48063892334199,3.5,0,7.2,7.83201418050547,5.70711026474888,4.85230005185863
"161",4.39444915467244,9.31659049181884,0,7.11720550316434,3,0.693147180559945,0,2,0,2,24,6.8,7.54591815120932,0,4.46461934900788
"162",4.70953020131233,9.52434786959551,6.49978704065585,7.88945914940452,3,0.693147180559945,2,3,5.99396142730657,3.5,4,7.6,8.21202580462344,0,4.7271283517713
"163",4.56434819146784,9.40779681635441,5.4249500174814,7.34083555412327,3,0.693147180559945,1,2,0,2,5,7.2,7.9168074909376,4.26267987704132,4.39732656986327
"164",4.02535169073515,8.61268517287546,0,6.78332520060396,1,0.693147180559945,0,0,0,1,51,6.4,6.78332520060396,0,4.77074227298267
"165",3.71357206670431,8.59433940059289,0,7.38832785957711,3,0.693147180559945,0,1,0,2,3,7.4,7.59438124255182,5.21493575760899,4.35073912356726
"166",4.14313472639153,9.22098353207466,0,7.21229446850034,4,1.09861228866811,0,0,4.94875989037817,3,9,7.2,7.54327334670545,0,4.22781964695506
"167",4.40060302024682,9.27883978840087,0,7.53262361878879,2,0.693147180559945,3,1,6.16751649088834,2,16,6.8,8.01135510916129,4.96284463025991,4.15949462492987
"168",4.46590811865458,9.26511260782316,5.70711026474888,7.67878899819915,3,0.693147180559945,1,3,5.18738580584075,2.5,0,7.4,8.14612951002541,4.79579054559674,4.55819527669642
"169",4.14313472639153,9.0173622349937,0,7.45066079621154,3,0.693147180559945,1,2,4.61512051684126,2.5,3,7.2,7.45066079621154,3.89182029811063,4.67922001691676
"170",4.4188406077966,9.72136597574484,6.4831073514572,7.44307837434852,2,0.693147180559945,1,2,6.35437004079735,2.5,25,7.6,7.44307837434852,4.17438726989564,4.90206713995041
"171",4.11087386417331,9.42213982158974,0,7.23201033166476,2,0.693147180559945,0,2,5.47227067367148,1.5,57,6.6,7.72797554210556,0,4.0536602234251
"172",4.95582705760126,10.3663092030036,4.72738781871234,7.41276401742656,3,0.693147180559945,2,2,5.35185813347607,2,50,6.6,7.73892375743946,4.14313472639153,4.55052303382109
"173",3.80666248977032,8.57678198282789,0,7.47760424319759,2,0.693147180559945,1,2,6.0913098820777,3,19,8,7.81520706218909,3.58351893845611,4.57972607995473
"174",4.39444915467244,9.2299469016151,6.19847871649231,7.21744343169653,3,0.693147180559945,1,2,0,2.5,47,6.6,7.61332497954064,3.04452243772342,4.40101516644333
"175",3.87120101090789,9.42682178041684,4.89034912822175,7.40974195408092,3,0.693147180559945,1,2,5.26269018890489,3,22,6.31428571428571,8.08886878916199,0,4.05167547858207
"176",4.44265125649032,9.44272112864287,0,7.67740043051481,4,0.693147180559945,1,2,0,3,6,7,7.8770178956224,4.23410650459726,4.53496351226966
"177",4.58496747867057,9.21333588095598,5.59471137960184,7.63094658089046,4,0.693147180559945,1,2,0,3,18,7,7.96970358327866,6.04263283368238,4.30386407643262
"178",4.29045944114839,9.52156805800298,0,7.56060116276856,4,0.693147180559945,1,2,0,3,48,7.2,7.79110951061003,0,4.28137654048844
"179",4.15888308335967,9.76560384517274,6.61873898351722,7.71199650704767,1,0.693147180559945,1,3,0,3,0,8,8.32820949174873,4.11087386417331,4.80627468162892
"180",4.11087386417331,9.05028898382796,0,6.87626461189077,2,0.693147180559945,0,2,0,1,1,7,6.87626461189077,5.22035582507832,4.64732682666189
"181",4.29728540621879,7.65822752616135,6.12468339089421,7.3304052118444,3,0.693147180559945,1,2,0,2.5,7,7,7.58171964012531,0,4.51371335779291
"182",4.00733318523247,8.93445510940391,0,7.49720722320332,4,0.693147180559945,1,1,0,1.5,56,7,7.67554600253785,3.71357206670431,4.54219775451192
"183",4.11087386417331,9.11173476822206,4.59511985013459,7.20117088328168,3,0.693147180559945,1,1,4.76217393479776,1,1,6.6,7.20117088328168,5.19849703126583,4.50592690855133
"184",4.15888308335967,9.34373425514671,0,7.64156444126097,3,0.693147180559945,0,2,5.63835466933375,2.5,5,5.94285714285714,7.64156444126097,5.47646355193151,4.5753445854309
"185",4.53259949315326,8.91449171019134,0,7.13329595489607,3,0.693147180559945,0,2,4.65396035015752,1,15,7,7.13329595489607,0,4.62925480579329
"186",4.51085950651685,10.0411167875242,0,8.19118600464279,4,0.693147180559945,2,3,0,2.5,13,9,8.33830573135656,6.50876913697168,4.74176506316655
