"","LotFrontage","LotArea","Street","LotShape","LandSlope","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","MiscVal","YrSold","SalePrice"
"11",70,11200,1,4,2,5,5,1965,1965,0,3,3,3,3,1,3,906,1,0,134,1040,5,1,1040,0,0,1040,1,0,1,0,3,1,3,5,7,0,0,1965,1,1,384,3,3,2,0,0,0,0,0,0,0,0,2008,129500
"12",85,11924,1,3,2,9,5,2005,2006,286,5,3,5,3,1,6,998,1,0,177,1175,5,1,1182,1142,0,2324,1,0,3,0,4,1,5,11,7,2,4,2005,3,3,736,3,3,2,147,21,0,0,0,0,0,0,2006,345000
"13",72,12968,1,2,2,5,6,1962,1962,0,3,3,3,3,1,5,737,1,0,175,912,3,1,912,0,0,912,1,0,1,0,2,1,3,4,7,0,0,1962,1,1,352,3,3,2,140,0,0,0,176,0,0,0,2008,144000
"14",91,10652,1,3,2,7,5,2006,2007,306,4,3,4,3,3,1,0,1,0,1494,1494,5,1,1494,0,0,1494,0,0,2,0,3,1,4,7,7,1,4,2006,2,3,840,3,3,2,160,33,0,0,0,0,0,0,2007,279500
"15",73,10920,1,3,2,6,5,1960,1960,212,3,3,3,3,1,4,733,1,0,520,1253,3,1,1253,0,0,1253,1,0,1,1,2,1,3,5,7,1,2,1960,2,1,352,3,3,2,0,213,176,0,0,0,0,0,2008,157000
"16",51,6120,1,4,2,7,8,1929,2001,0,3,3,3,3,1,1,0,1,0,832,832,5,1,854,0,0,854,0,0,1,0,2,1,3,5,7,0,0,1991,1,2,576,3,3,2,48,112,0,0,0,0,0,0,2007,132000
"17",73,11241,1,3,2,6,7,1970,1970,180,3,3,3,3,1,5,578,1,0,426,1004,5,1,1004,0,0,1004,1,0,1,0,2,1,3,5,7,1,3,1970,3,2,480,3,3,2,0,0,0,0,0,0,0,700,2010,149000
"18",72,10791,1,4,2,4,5,1967,1967,0,3,3,0,0,0,0,0,0,0,0,0,3,1,1296,0,0,1296,0,0,2,0,2,2,3,6,7,0,0,1967,1,2,516,3,3,2,0,0,0,0,0,0,0,500,2006,90000
"19",66,13695,1,4,2,5,5,2004,2004,0,3,3,3,3,1,6,646,1,0,468,1114,5,1,1114,0,0,1114,1,0,1,1,3,1,4,6,7,0,0,2004,1,2,576,3,3,2,0,102,0,0,0,0,0,0,2008,159000
"20",70,7560,1,4,2,5,6,1958,1965,0,3,3,3,3,1,2,504,1,0,525,1029,3,1,1339,0,0,1339,0,0,1,0,3,1,3,6,5,0,0,1958,1,1,294,3,3,2,0,0,0,0,0,0,0,0,2009,139000
"21",101,14215,1,3,2,8,5,2005,2006,380,4,3,5,3,3,1,0,1,0,1158,1158,5,1,1158,1218,0,2376,0,0,3,1,4,1,4,9,7,1,4,2005,2,3,853,3,3,2,240,154,0,0,0,0,0,0,2006,325300
"22",57,7449,1,4,2,7,7,1930,1950,0,3,3,3,3,1,1,0,1,0,637,637,5,1,1108,0,0,1108,0,0,1,0,3,1,4,6,7,1,4,1930,1,1,280,3,3,0,0,0,205,0,0,0,0,0,2007,139400
"23",75,9742,1,4,2,8,5,2002,2002,281,4,3,4,3,1,1,0,1,0,1777,1777,5,1,1795,0,0,1795,0,0,2,0,3,1,4,7,7,1,4,2002,2,2,534,3,3,2,171,159,0,0,0,0,0,0,2008,230000
"24",44,4224,1,4,2,5,7,1976,1976,0,3,3,4,3,1,6,840,1,0,200,1040,3,1,1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,3,1976,1,2,572,3,3,2,100,110,0,0,0,0,0,0,2007,129900
"25",72,8246,1,3,2,5,8,1968,2001,0,3,4,3,3,2,3,188,5,668,204,1060,5,1,1060,0,0,1060,1,0,1,0,3,1,4,6,7,1,3,1968,1,1,270,3,3,2,406,90,0,0,0,0,0,0,2010,154000
"26",110,14230,1,4,2,8,5,2007,2007,640,4,3,4,3,1,1,0,1,0,1566,1566,5,1,1600,0,0,1600,0,0,2,0,3,1,4,7,7,1,4,2007,2,3,890,3,3,2,0,56,0,0,0,0,0,0,2009,256300
"27",60,7200,1,4,2,5,7,1951,2000,0,3,3,3,3,2,4,234,3,486,180,900,3,1,900,0,0,900,0,1,1,0,3,1,4,5,7,0,0,2005,1,2,576,3,3,2,222,32,0,0,0,0,0,0,2010,134800
"28",98,11478,1,4,2,8,5,2007,2008,200,4,3,5,3,1,6,1218,1,0,486,1704,5,1,1704,0,0,1704,1,0,2,0,3,1,4,7,7,1,4,2008,2,3,772,3,3,2,0,50,0,0,0,0,0,0,2010,306000
"29",47,16321,1,3,2,5,6,1957,1997,0,3,3,3,3,4,4,1277,1,0,207,1484,3,1,1600,0,0,1600,1,0,1,0,2,1,3,6,7,2,4,1957,2,1,319,3,3,2,288,258,0,0,0,0,0,0,2006,207500
"30",60,6324,1,3,2,4,6,1927,1950,0,3,3,3,3,1,1,0,1,0,520,520,2,0,520,0,0,520,0,0,1,0,1,1,2,4,7,0,0,1920,1,1,240,2,3,2,49,0,87,0,0,0,0,0,2008,68500
"31",50,8500,1,4,2,4,4,1920,1950,0,3,2,3,3,1,1,0,1,0,649,649,3,0,649,668,0,1317,0,0,1,0,3,1,3,6,7,0,0,1920,1,1,250,3,2,0,0,54,172,0,0,0,0,0,2008,40000
"32",72,8544,1,3,2,5,6,1966,2006,0,3,3,3,3,1,1,0,1,0,1228,1228,4,1,1228,0,0,1228,0,0,1,1,3,1,4,6,7,0,0,1966,1,1,271,3,3,2,0,65,0,0,0,0,0,0,2008,149350
"33",85,11049,1,4,2,8,5,2007,2007,0,4,3,5,3,3,1,0,1,0,1234,1234,5,1,1234,0,0,1234,0,0,2,0,3,1,4,7,7,0,0,2007,2,2,484,3,3,2,0,30,0,0,0,0,0,0,2008,179900
"34",70,10552,1,3,2,5,5,1959,1959,0,3,3,3,3,1,3,1018,1,0,380,1398,4,1,1700,0,0,1700,0,1,1,1,4,1,4,6,7,1,4,1959,2,2,447,3,3,2,0,38,0,0,0,0,0,0,2010,165500
"35",60,7313,1,4,2,9,5,2005,2005,246,5,3,5,3,1,6,1153,1,0,408,1561,5,1,1561,0,0,1561,1,0,2,0,2,1,5,6,7,1,4,2005,3,2,556,3,3,2,203,47,0,0,0,0,0,0,2007,277500
"36",108,13418,1,4,2,8,5,2004,2005,132,4,3,5,3,3,1,0,1,0,1117,1117,5,1,1132,1320,0,2452,0,0,3,1,4,1,4,9,7,1,4,2004,3,3,691,3,3,2,113,32,0,0,0,0,0,0,2006,309000
"37",112,10859,1,4,2,5,5,1994,1995,0,3,3,4,3,1,1,0,1,0,1097,1097,5,1,1097,0,0,1097,0,0,1,1,3,1,3,6,7,0,0,1995,1,2,672,3,3,2,392,64,0,0,0,0,0,0,2009,145000
"38",74,8532,1,4,2,5,6,1954,1990,650,3,3,3,3,1,3,1213,1,0,84,1297,4,1,1297,0,0,1297,0,1,1,0,3,1,3,5,7,1,3,1954,3,2,498,3,3,2,0,0,0,0,0,0,0,0,2009,153000
"39",68,7922,1,4,2,5,7,1953,2007,0,3,4,3,3,1,6,731,1,0,326,1057,3,1,1057,0,0,1057,1,0,1,0,3,1,4,5,7,0,0,1953,1,1,246,3,3,2,0,52,0,0,0,0,0,0,2010,109000
"40",65,6040,1,4,2,4,5,1955,1955,0,3,3,0,0,0,0,0,0,0,0,0,3,0,1152,0,0,1152,0,0,2,0,2,2,2,6,7,0,0,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,82000
"41",84,8658,1,4,2,6,5,1965,1965,101,3,3,3,3,1,3,643,1,0,445,1088,5,1,1324,0,0,1324,0,0,2,0,3,1,3,6,7,1,3,1965,2,2,440,3,3,2,0,138,0,0,0,0,0,0,2006,160000
"42",115,16905,1,4,2,5,6,1959,1959,0,3,4,3,3,4,4,967,1,0,383,1350,4,1,1328,0,0,1328,0,1,1,1,2,1,3,5,7,2,4,1959,2,1,308,3,3,1,0,104,0,0,0,0,0,0,2007,170000
"43",67,9180,1,3,2,5,7,1983,1983,0,3,3,4,3,3,5,747,2,93,0,840,4,1,884,0,0,884,1,0,1,0,2,1,4,5,7,0,0,1983,2,2,504,3,4,2,240,0,0,0,0,0,0,0,2007,144000
"44",70,9200,1,3,2,5,6,1975,1980,0,3,3,4,3,3,2,280,4,491,167,938,3,1,938,0,0,938,1,0,1,0,3,1,3,5,7,0,0,1977,1,1,308,3,3,2,145,0,0,0,0,0,0,0,2008,130250
"45",70,7945,1,4,2,5,6,1959,1959,0,3,3,3,3,1,5,179,4,506,465,1150,5,1,1150,0,0,1150,1,0,1,0,3,1,3,6,7,0,0,1959,2,1,300,3,3,2,0,0,0,0,0,0,0,0,2006,141000
"46",61,7658,1,4,2,9,5,2005,2005,412,5,3,5,3,1,6,456,1,0,1296,1752,5,1,1752,0,0,1752,1,0,2,0,2,1,5,6,7,1,4,2005,2,2,576,3,3,2,196,82,0,0,0,0,0,0,2010,319900
"47",48,12822,1,3,2,7,5,2003,2003,0,4,3,5,3,1,6,1351,1,0,83,1434,5,1,1518,631,0,2149,1,0,1,1,1,1,4,6,7,1,5,2003,2,2,670,3,3,2,168,43,0,0,198,0,0,0,2009,239686
"48",84,11096,1,4,2,8,5,2006,2006,0,4,3,4,3,3,6,24,1,0,1632,1656,5,1,1656,0,0,1656,0,0,2,0,3,1,4,7,7,0,0,2006,2,3,826,3,3,2,0,146,0,0,0,0,0,0,2007,249700
"49",33,4456,1,4,2,4,5,1920,2008,0,3,3,3,3,1,1,0,1,0,736,736,4,1,736,716,0,1452,0,0,2,0,2,3,3,8,7,0,0,1920,0,0,0,0,0,0,0,0,102,0,0,0,0,0,2009,113000
"50",66,7742,1,4,2,5,7,1966,1966,0,3,3,3,3,1,4,763,1,0,192,955,5,1,955,0,0,955,1,0,1,0,3,1,3,6,7,0,0,1966,1,1,386,3,3,2,0,0,0,0,0,0,0,0,2007,127000
"51",64,13869,1,2,2,6,6,1997,1997,0,3,3,4,3,3,6,182,1,0,612,794,4,1,794,676,0,1470,0,1,2,0,3,1,3,6,7,0,0,1997,3,2,388,3,3,2,0,75,0,0,0,0,0,0,2007,177000
"52",52,6240,1,4,2,6,6,1934,1950,0,3,3,3,3,1,1,0,1,0,816,816,3,1,816,0,360,1176,0,0,1,0,3,1,3,6,7,1,4,1985,1,2,528,3,3,2,112,0,0,0,0,0,0,400,2006,114500
"53",110,8472,0,2,1,5,5,1963,1963,0,2,3,4,3,4,2,104,6,712,0,816,3,0,816,0,0,816,1,0,1,0,2,1,3,5,7,0,0,1963,1,2,516,3,3,2,106,0,0,0,0,0,0,0,2010,110000
"54",68,50271,1,3,2,9,5,1981,1987,0,4,3,5,3,4,6,1810,1,0,32,1842,4,1,1842,0,0,1842,2,0,0,1,0,1,4,5,7,1,4,1981,3,3,894,3,3,2,857,72,0,0,0,0,0,0,2006,385000
"55",60,7134,1,4,1,5,5,1955,1955,0,3,3,3,3,1,5,384,1,0,0,384,3,1,1360,0,0,1360,0,0,1,0,3,1,3,6,5,1,3,1962,1,2,572,3,3,2,0,50,0,0,0,0,0,0,2007,130000
"56",100,10175,1,3,2,6,5,1964,1964,272,3,3,3,3,1,4,490,1,0,935,1425,4,1,1425,0,0,1425,0,0,2,0,3,1,3,7,7,1,4,1964,2,2,576,3,3,2,0,0,0,407,0,0,0,0,2008,180500
"57",24,2645,1,4,2,8,5,1999,2000,456,4,3,4,3,1,6,649,1,0,321,970,5,1,983,756,0,1739,1,0,2,1,3,1,4,7,7,0,0,1999,3,2,480,3,3,2,115,0,0,0,0,0,0,0,2009,172500
"58",89,11645,1,3,2,7,5,2004,2004,0,4,3,4,3,1,1,0,1,0,860,860,5,1,860,860,0,1720,0,0,2,1,3,1,4,7,7,0,0,2004,2,2,565,3,3,2,0,70,0,0,0,0,0,0,2006,196500
"59",66,13682,1,2,2,10,5,2006,2006,1031,5,3,5,3,4,1,0,1,0,1410,1410,5,1,1426,1519,0,2945,0,0,3,1,3,1,4,10,7,1,4,2006,3,3,641,3,3,2,192,0,37,0,0,0,0,0,2006,438780
"60",60,7200,1,4,2,5,7,1972,1972,0,3,3,3,3,3,5,632,1,0,148,780,5,1,780,0,0,780,0,0,1,0,2,1,3,4,7,0,0,1973,1,1,352,3,3,2,196,0,0,0,0,0,0,0,2008,124900
"61",63,13072,1,4,2,6,5,2004,2004,0,3,3,4,3,1,5,941,1,0,217,1158,5,1,1158,0,0,1158,1,0,1,1,3,1,4,5,7,0,0,2006,1,2,576,3,3,2,0,50,0,0,0,0,0,0,2006,158000
"62",60,7200,1,4,2,5,7,1920,1996,0,3,3,3,2,1,1,0,1,0,530,530,3,0,581,530,0,1111,0,0,1,0,3,1,2,6,7,0,0,1935,1,1,288,3,3,0,0,0,144,0,0,0,0,0,2007,101000
"63",44,6442,1,3,2,8,5,2006,2006,178,4,3,4,4,2,6,24,1,0,1346,1370,5,1,1370,0,0,1370,0,0,2,0,2,1,4,6,7,1,4,2006,2,2,484,3,3,2,120,49,0,0,0,0,0,0,2007,202500
"64",50,10300,1,3,2,7,6,1921,1950,0,3,3,3,3,1,1,0,1,0,576,576,4,1,902,808,0,1710,0,0,2,0,3,1,3,9,7,0,0,1990,1,2,480,3,3,2,12,11,64,0,0,0,0,0,2010,140000
"65",70,9375,1,4,2,7,5,1997,1998,573,3,3,4,3,1,6,739,1,0,318,1057,5,1,1057,977,0,2034,1,0,2,1,3,1,4,8,7,0,0,1998,2,2,645,3,3,2,576,36,0,0,0,0,0,0,2009,219500
"66",76,9591,1,4,2,8,5,2004,2005,344,4,3,5,3,3,1,0,1,0,1143,1143,5,1,1143,1330,0,2473,0,0,2,1,4,1,4,9,7,1,4,2004,2,3,852,3,3,2,192,151,0,0,0,0,0,0,2007,317000
"67",73,19900,1,4,2,7,5,1970,1989,287,3,3,4,3,4,6,912,1,0,1035,1947,3,1,2207,0,0,2207,1,0,2,0,3,1,3,7,5,1,4,1970,2,2,576,3,3,2,301,0,0,0,0,0,0,0,2010,180000
"68",72,10665,1,3,2,7,5,2003,2003,167,4,3,4,3,3,6,1013,1,0,440,1453,5,1,1479,0,0,1479,1,0,2,0,3,1,4,7,7,0,0,2003,2,2,558,3,3,2,144,29,0,0,0,0,0,0,2007,226000
"69",47,4608,1,4,2,4,6,1945,1950,0,3,4,3,3,1,1,0,1,0,747,747,3,1,747,0,0,747,0,0,1,0,2,1,3,4,7,0,0,1945,1,1,220,3,3,2,0,0,0,0,0,0,0,0,2010,80000
"70",81,15593,1,4,2,7,4,1953,1953,0,4,3,3,3,1,4,603,1,0,701,1304,3,1,1304,983,0,2287,0,0,2,0,3,1,3,7,7,1,3,1953,3,2,667,3,3,2,0,21,114,0,0,0,0,0,2006,225000
"71",95,13651,1,3,2,7,6,1973,1973,1115,3,4,4,3,4,5,1880,1,0,343,2223,5,1,2223,0,0,2223,1,0,2,0,3,1,3,8,7,2,4,1973,3,2,516,3,3,2,300,0,0,0,0,0,0,0,2007,244000
"72",69,7599,1,4,2,4,6,1982,2006,0,3,3,3,3,1,5,565,1,0,280,845,3,1,845,0,0,845,1,0,1,0,2,1,3,4,7,0,0,1987,1,2,360,3,3,2,0,0,0,0,0,0,0,0,2007,129500
"73",74,10141,1,3,2,7,5,1998,1998,40,3,3,4,3,1,1,0,1,0,832,832,4,1,885,833,0,1718,0,0,2,1,3,1,3,7,7,1,3,1998,3,2,427,3,3,2,0,94,0,0,291,0,0,0,2009,185000
"74",85,10200,1,4,2,5,7,1954,2003,104,3,3,3,3,1,5,320,4,362,404,1086,4,1,1086,0,0,1086,1,0,1,0,3,1,3,6,7,0,0,1989,1,2,490,3,3,2,0,0,0,0,0,0,0,0,2010,144900
"75",60,5790,1,4,2,3,6,1915,1950,0,4,4,2,3,1,1,0,1,0,840,840,4,0,840,765,0,1605,0,0,2,0,3,2,3,8,7,0,0,1915,1,1,379,3,3,2,0,0,202,0,0,0,0,0,2010,107400
"76",21,1596,1,4,2,4,5,1973,1973,0,3,3,4,3,4,6,462,1,0,0,462,3,1,526,462,0,988,1,0,1,0,2,1,3,5,7,0,0,1973,1,1,297,3,3,2,120,101,0,0,0,0,0,0,2009,91000
"77",73,8475,1,3,2,4,7,1956,1956,0,3,3,3,3,1,5,228,1,0,724,952,5,1,952,0,0,952,0,0,1,0,2,1,3,4,7,0,0,1956,1,1,283,3,3,2,0,0,0,0,0,0,0,0,2008,135750
"78",50,8635,1,4,2,5,5,1948,2001,0,3,3,3,3,1,4,336,6,41,295,672,3,1,1072,213,0,1285,1,0,1,0,2,1,3,6,5,0,0,1948,1,1,240,3,3,2,0,0,0,0,0,0,0,0,2008,127000
"79",72,10778,1,4,2,4,5,1968,1968,0,3,3,3,3,1,1,0,1,0,1768,1768,3,0,1768,0,0,1768,0,0,2,0,4,2,3,8,7,0,0,1968,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2010,136500
"80",60,10440,1,4,2,5,6,1910,1981,0,3,3,3,3,1,1,0,1,0,440,440,4,1,682,548,0,1230,0,0,1,1,2,1,3,5,7,0,0,1966,1,2,440,3,3,2,74,0,128,0,0,0,0,0,2009,110000
"81",100,13000,1,4,2,6,6,1968,1968,576,3,4,4,3,1,3,448,1,0,448,896,3,1,1182,960,0,2142,0,0,2,1,4,1,4,8,7,1,4,1968,3,1,509,3,3,2,0,72,0,0,252,0,0,0,2009,193500
"82",32,4500,1,4,2,6,5,1998,1998,443,3,4,5,4,1,6,1201,1,0,36,1237,5,1,1337,0,0,1337,1,0,2,0,2,1,3,5,7,0,0,1998,3,2,405,3,3,2,0,199,0,0,0,0,0,0,2006,153500
"83",78,10206,1,4,2,8,5,2007,2007,468,3,3,4,3,1,6,33,1,0,1530,1563,5,1,1563,0,0,1563,0,0,2,0,3,1,4,6,7,1,4,2007,2,3,758,3,3,2,144,99,0,0,0,0,0,0,2008,245000
"84",80,8892,1,3,2,5,5,1960,1960,66,3,3,3,3,1,1,0,1,0,1065,1065,4,1,1065,0,0,1065,0,0,1,1,3,1,3,6,7,0,0,1974,1,2,461,3,3,2,74,0,0,0,0,0,0,0,2007,126500
"85",64,8530,1,3,2,7,5,1995,1996,22,3,3,4,3,1,1,0,1,0,384,384,4,1,804,670,0,1474,0,0,2,1,3,1,3,7,7,1,3,1995,3,2,400,3,3,2,120,72,0,0,0,0,0,700,2009,168500
"86",121,16059,1,4,2,8,5,1991,1992,284,4,3,4,3,1,1,0,1,0,1288,1288,5,1,1301,1116,0,2417,0,0,2,1,4,1,4,9,7,1,3,1991,1,2,462,3,3,2,127,82,0,0,0,0,0,0,2006,260000
"87",122,11911,1,2,2,6,5,2005,2005,0,4,3,4,3,3,1,0,1,0,684,684,5,1,684,876,0,1560,0,0,2,1,3,1,4,6,7,1,4,2005,3,2,400,3,3,2,100,38,0,0,0,0,0,0,2009,174000
"88",40,3951,1,4,2,6,5,2009,2009,76,4,3,4,3,3,1,0,1,0,612,612,5,1,612,612,0,1224,0,0,2,1,2,1,4,4,7,0,0,2009,2,2,528,3,3,2,0,234,0,0,0,0,0,0,2009,164500
"89",105,8470,1,3,2,3,2,1915,1982,0,2,2,3,2,1,1,0,1,0,1013,1013,3,0,1013,0,513,1526,0,0,1,0,2,1,2,6,7,0,0,1915,0,0,0,0,0,0,0,0,156,0,0,0,0,0,2009,85000
"90",60,8070,1,4,2,4,5,1994,1995,0,3,3,4,3,1,6,588,1,0,402,990,5,1,990,0,0,990,1,0,1,0,3,1,3,5,7,0,0,1994,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2007,123600
"91",60,7200,1,4,2,4,5,1950,1950,0,3,3,0,0,0,0,0,0,0,0,0,3,1,1040,0,0,1040,0,0,1,0,2,1,3,4,7,0,0,1950,1,2,420,3,3,2,0,29,0,0,0,0,0,0,2006,109900
"92",85,8500,1,4,2,5,3,1961,1961,203,3,3,3,3,1,3,600,1,0,635,1235,3,1,1235,0,0,1235,0,0,1,0,2,1,3,6,7,0,0,1961,1,2,480,3,3,2,0,0,0,0,0,0,0,0,2006,98600
"93",80,13360,1,3,2,5,7,1921,2006,0,3,4,4,3,1,5,713,1,0,163,876,5,1,964,0,0,964,1,0,1,0,2,1,3,5,7,0,0,1921,1,2,432,3,3,2,0,0,44,0,0,0,0,0,2009,163500
"94",60,7200,1,4,2,6,6,1910,1998,0,3,3,3,2,2,3,1046,1,0,168,1214,5,0,1260,1031,0,2291,0,1,2,0,4,2,3,9,7,1,4,1900,1,2,506,3,3,2,0,0,0,0,99,0,0,0,2007,133900
"95",69,9337,1,3,2,6,5,1997,1997,0,3,4,4,3,1,6,648,1,0,176,824,5,1,905,881,0,1786,1,0,2,1,3,1,4,7,7,0,0,1997,2,2,684,3,3,2,0,162,0,0,0,0,0,0,2007,204750
"96",64,9765,1,2,2,6,8,1993,1993,68,5,4,4,4,1,5,310,1,0,370,680,4,1,680,790,0,1470,0,0,2,1,3,1,3,6,7,1,3,1993,3,2,420,3,3,2,232,63,0,0,0,0,0,480,2009,185000
"97",78,10264,1,3,2,7,5,1999,1999,183,4,3,4,3,3,5,1162,1,0,426,1588,5,1,1588,0,0,1588,0,0,2,0,3,1,4,6,7,0,0,1999,2,2,472,3,3,2,158,29,0,0,0,0,0,0,2006,214000
"98",73,10921,1,4,2,4,5,1965,1965,48,3,3,3,3,1,3,520,1,0,440,960,3,1,960,0,0,960,1,0,1,0,3,1,3,6,7,0,0,1965,3,1,432,3,3,1,120,0,0,0,0,0,0,0,2007,94750
"99",85,10625,1,4,2,5,5,1920,1950,0,3,3,3,3,1,5,108,1,0,350,458,2,0,835,0,0,835,0,0,1,0,2,1,3,5,7,0,0,1920,1,1,366,2,3,2,0,0,77,0,0,0,0,400,2010,83000
"100",77,9320,1,3,2,4,5,1959,1959,0,3,3,3,3,1,5,569,1,0,381,950,2,1,1225,0,0,1225,1,0,1,1,3,1,3,6,7,0,0,1959,0,0,0,0,0,2,352,0,0,0,0,0,0,400,2010,128950
"101",80,10603,1,3,2,6,7,1977,2001,28,3,3,3,3,2,5,1200,1,0,410,1610,4,1,1610,0,0,1610,1,0,2,0,3,1,4,6,7,2,3,1977,2,2,480,3,3,2,168,68,0,0,0,0,0,0,2010,205000
"102",77,9206,1,4,2,6,5,1985,1985,336,4,3,4,3,1,1,0,1,0,741,741,3,1,977,755,0,1732,0,0,2,1,3,1,4,7,7,1,3,1985,3,2,476,3,3,2,192,46,0,0,0,0,0,0,2010,178000
"103",64,7018,1,4,2,5,5,1979,1979,0,3,2,0,0,0,0,0,0,0,0,0,3,1,1535,0,0,1535,0,0,2,0,4,2,3,8,7,0,0,1979,1,2,410,3,3,2,0,0,0,0,0,0,0,0,2009,118964
"104",94,10402,1,3,2,7,5,2009,2009,0,3,3,4,3,1,1,0,1,0,1226,1226,5,1,1226,0,0,1226,0,0,2,0,3,1,4,6,7,0,0,2009,2,3,740,3,3,2,0,36,0,0,0,0,0,0,2010,198900
"105",60,7758,1,4,2,7,4,1931,1950,600,3,2,3,3,1,2,224,1,0,816,1040,5,1,1226,592,0,1818,0,0,1,1,4,1,3,7,7,2,3,1951,1,1,240,3,3,2,0,0,0,0,184,0,0,0,2007,169500
"106",75,9375,1,4,2,8,5,2003,2004,768,4,3,5,3,1,1,0,1,0,1053,1053,5,1,1053,939,0,1992,0,0,2,1,3,1,4,9,7,1,4,2003,2,2,648,3,3,2,140,45,0,0,0,0,0,0,2008,250000
"107",60,10800,1,4,2,4,7,1885,1995,0,3,3,2,3,1,1,0,1,0,641,641,4,1,1047,0,0,1047,0,0,1,0,2,1,3,6,7,0,0,1954,1,1,273,2,2,0,0,0,0,0,0,0,0,450,2007,100000
"108",50,6000,1,4,2,5,5,1948,1950,0,3,3,3,3,1,5,104,4,169,516,789,5,1,789,0,0,789,0,0,1,0,2,1,3,5,7,0,0,1948,1,1,250,3,3,2,0,0,0,0,0,0,0,0,2008,115000
